Molecule ChEMBL ID,Standard Value
CHEMBL408383,1000.0
CHEMBL402361,8.0
CHEMBL402629,6.0
CHEMBL3980194,100.0
CHEMBL3898449,1000.0
CHEMBL3971655,1000.0
CHEMBL3899862,82.0
CHEMBL3967389,1000.0
CHEMBL258233,1134.0
CHEMBL402080,126.0
CHEMBL258004,35.0
CHEMBL402104,10000.0
CHEMBL257127,350.0
CHEMBL404514,1200.0
CHEMBL256504,19.0
CHEMBL436653,3.0
CHEMBL255935,208.0
CHEMBL404142,535.0
CHEMBL3942983,107.0
CHEMBL3975753,122.0
CHEMBL3921515,1000.0
CHEMBL3980126,100.0
CHEMBL3896014,640.0
CHEMBL3953542,107.0
CHEMBL3941034,149.0
CHEMBL3974716,2.8
CHEMBL4111162,1.3
CHEMBL4111587,1.6
CHEMBL4110079,4.7
CHEMBL4110250,3.8
CHEMBL4110814,1.9
CHEMBL4108627,2.1
CHEMBL3958341,10.0
CHEMBL3938325,6.7
CHEMBL4108248,5.5
CHEMBL3927286,100.0
CHEMBL3943097,10.0
CHEMBL4111218,2.0
CHEMBL3921310,100.0
CHEMBL3915439,100.0
CHEMBL4108818,3.0
CHEMBL4114980,1.8
CHEMBL4115333,6.8
CHEMBL4113144,1.9
CHEMBL4110413,8.6
CHEMBL4108900,3.0
CHEMBL3403430,20000.0
CHEMBL3622522,258.0
CHEMBL4083655,1.3
CHEMBL4086222,71.9
CHEMBL4096351,3600.0
CHEMBL4105582,9000.0
CHEMBL2022379,1142.0
CHEMBL3622187,1688.0
CHEMBL3622526,450.0
CHEMBL4109312,1.8
CHEMBL3920819,11.6
CHEMBL3954007,7.1
CHEMBL3403440,16.0
CHEMBL4109646,1.4
CHEMBL3895223,1.9
CHEMBL3958699,3.3
CHEMBL4110840,2.2
CHEMBL3930830,6.3
CHEMBL3403435,20000.0
CHEMBL255235,6900.0
CHEMBL4109783,1.9
CHEMBL4113245,7.5
CHEMBL3926706,2.0
CHEMBL4115485,2.2
CHEMBL4110597,5.1
CHEMBL4113330,12.6
CHEMBL4111230,1.4
CHEMBL3982186,5.4
CHEMBL3932579,8.3
CHEMBL3912832,5.3
CHEMBL3922192,5.6
CHEMBL3925644,3.5
CHEMBL4115604,8.9
CHEMBL4107752,1.6
CHEMBL4110545,1.7
CHEMBL4110464,1.3
CHEMBL4109266,1.5
CHEMBL4107426,2.4
CHEMBL4111435,5.3
CHEMBL4107049,9.1
CHEMBL3940416,7.5
CHEMBL4109707,3.2
CHEMBL3900741,11.6
CHEMBL4795391,36.2
CHEMBL3923198,3.5
CHEMBL3969520,3.6
CHEMBL3590435,110.0
CHEMBL3590516,0.5
CHEMBL2441273,3.981
CHEMBL4111872,1.8
CHEMBL3906627,1000.0
CHEMBL3981292,1000.0
CHEMBL4560045,30.0
CHEMBL3746678,234.0
CHEMBL3361253,5000.0
CHEMBL4107447,1.7
CHEMBL4107049,8.8
CHEMBL4115287,8.4
CHEMBL3403448,228000.0
CHEMBL3403432,20000.0
CHEMBL4089619,1552.0
CHEMBL4111603,5.9
CHEMBL3590491,3.0
CHEMBL4114139,4.8
CHEMBL4109623,2.7
CHEMBL4106606,4.2
CHEMBL3586498,2400.0
CHEMBL4088745,8.0
CHEMBL4098698,360.0
CHEMBL4071076,47.0
CHEMBL3938382,1029.0
CHEMBL3926214,1000.0
CHEMBL3586485,100.0
CHEMBL3966073,1000.0
CHEMBL3978719,9.0
CHEMBL378693,3000.0
CHEMBL4103497,1.3
CHEMBL4473472,294.0
CHEMBL258004,35.0
CHEMBL4518902,653.0
CHEMBL402174,15.0
CHEMBL256719,660.0
CHEMBL408077,8900.0
CHEMBL259213,7300.0
CHEMBL265923,3700.0
CHEMBL4081711,2.0
CHEMBL258024,497.0
CHEMBL485324,200.0
CHEMBL210682,6000.0
CHEMBL210821,8000.0
CHEMBL402295,225.0
CHEMBL404471,433.0
CHEMBL404472,1085.0
CHEMBL3355482,100000.0
CHEMBL142425,30000.0
CHEMBL4436128,910.0
CHEMBL4108348,26.0
CHEMBL4113028,3180.0
CHEMBL256942,166.0
CHEMBL402612,181.0
CHEMBL403210,95.0
CHEMBL256735,263.0
CHEMBL256717,420.0
