Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,PDB EXPDTA PH,Standard Value
CHEMBL3935695,-10.299,-0.257,-0.881,-2.197,-10.337,-4.838,-0.297,-1.171,-63.928,-8.192,0.416,-0.022,-106.766,-72.12,,3.2
CHEMBL3935887,-10.133,-0.26,-0.881,-2.173,-10.149,-4.355,-0.32,-1.536,-63.143,-8.705,0.525,0.0,-113.028,-71.848,,1000.0
CHEMBL3935941,-9.473,-0.306,-0.96,-2.136,-9.473,-3.625,-0.32,-2.248,-56.456,-6.898,0.577,0.0,-96.647,-63.355,,1000.0
CHEMBL3936227,-10.606,-0.272,-0.922,-2.274,-10.717,-4.285,-0.541,-1.539,-59.464,-12.133,0.488,-0.049,-115.283,-71.596,,1000.0
CHEMBL3936244,-10.43,-0.267,-0.907,-2.236,-10.672,-4.301,-0.32,-1.551,-57.554,-12.351,0.401,-0.171,-115.581,-69.905,,1000.0
CHEMBL3936270,-9.056,-0.259,-0.846,-1.988,-9.131,-3.228,-0.072,-2.433,-59.445,-6.471,0.546,0.0,-98.713,-65.917,,15.9
CHEMBL3936302,-9.807,-0.245,-0.839,-2.092,-9.807,-3.869,-0.286,-1.825,-59.415,-7.932,0.334,-0.0,-104.955,-67.348,,100.0
CHEMBL3936414,-8.529,-0.231,-0.768,-1.85,-9.926,-4.506,-0.637,-1.028,-55.658,-10.383,0.586,0.0,-100.217,-66.041,,26.0
CHEMBL3936469,-9.785,-0.288,-0.932,-2.162,-9.786,-4.294,-0.32,-1.85,-54.367,-7.882,0.578,0.0,-100.3,-62.248,,100.0
CHEMBL3936608,-5.444,-0.133,-0.458,-1.155,-5.461,-2.515,0.0,-0.635,-42.403,-4.077,0.46,-0.039,-50.45,-46.48,,1000.0
CHEMBL3936754,-9.709,-0.277,-0.907,-2.131,-9.71,-4.208,-0.165,-1.945,-57.749,-6.955,0.539,0.0,-100.813,-64.703,,100.0
CHEMBL3936790,-9.988,-0.322,-1.012,-2.253,-10.009,-3.792,-0.221,-2.057,-53.739,-11.062,0.407,0.0,-88.256,-64.802,,23.0
CHEMBL3936809,-9.601,-0.259,-0.865,-2.082,-9.601,-4.012,-0.276,-1.78,-58.004,-7.489,0.491,0.0,-99.907,-65.493,,100.0
CHEMBL3936851,-9.532,-0.258,-0.858,-2.067,-9.563,-4.39,-0.182,-1.582,-61.953,-5.976,0.585,0.0,-103.94,-67.929,,1000.0
CHEMBL3936900,-10.601,-0.303,-0.991,-2.327,-10.601,-3.989,-0.428,-1.82,-62.453,-10.512,0.496,-0.162,-116.169,-72.965,,100.0
CHEMBL3936946,-11.056,-0.316,-1.033,-2.427,-11.125,-4.68,-0.411,-1.635,-62.479,-11.083,0.428,-0.04,-122.57,-73.562,,100.0
