Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy
CHEMBL4109434,-11.572,-0.305,-1.024,-2.495,-11.572,-3.809,-0.558,-2.965,-66.79,-9.06,0.657,-0.199,-119.948,-75.85
CHEMBL3917833,-11.571,-0.362,-1.148,-2.591,-11.62,-4.463,-0.462,-2.279,-52.508,-15.536,0.576,-0.035,-111.62,-68.044
CHEMBL4107696,-11.57,-0.362,-1.148,-2.591,-11.57,-3.787,-0.839,-2.98,-52.568,-14.519,0.843,0,-103.518,-67.087
CHEMBL4110422,-11.568,-0.313,-1.042,-2.509,-11.568,-3.702,-0.575,-2.877,-63.674,-11.754,0.7,-0.168,-117.53,-75.428
CHEMBL4110722,-11.55,-0.304,-1.022,-2.49,-11.55,-4.394,-0.326,-2.767,-65.578,-9.839,0.692,0,-114.62,-75.416
CHEMBL4441283,-11.535,-0.21,-0.798,-2.304,-11.569,-4.177,-0.455,-1.307,-67.162,-14.871,0.248,-0.29,-129.633,-82.033
CHEMBL4106994,-11.529,-0.384,-1.194,-2.62,-11.532,-3.924,-0.604,-2.644,-50.984,-14.969,0.474,-0.04,-113.069,-65.953
CHEMBL4112750,-11.526,-0.339,-1.098,-2.546,-11.526,-3.745,-0.861,-2.949,-53.41,-14.218,0.834,-0.002,-106.814,-67.628
CHEMBL256963,-11.524,-0.549,-1.514,-2.849,-11.541,-3.157,-0.769,-3.357,-36.392,-19.409,0.61,-0.136,-110.736,-55.802
CHEMBL4445098,-11.51,-0.281,-0.968,-2.442,-11.522,-4.265,-0.723,-1.934,-50.233,-16.237,0.417,-0.07,-108.574,-66.47
CHEMBL3963886,-11.504,-0.32,-1.055,-2.51,-11.608,-3.822,-0.186,-2.963,-68.419,-11.776,0.697,-0.146,-129.639,-80.195
CHEMBL3908966,-11.501,-0.319,-1.055,-2.509,-11.563,-3.555,-0.429,-2.025,-62.427,-17.796,0.393,-0.156,-136.78,-80.223
CHEMBL4111167,-11.501,-0.319,-1.055,-2.509,-11.604,-4.026,-0.557,-1.279,-52.964,-21.81,0.278,-0.1,-110.068,-74.775
CHEMBL258004,-11.496,-0.523,-1.464,-2.81,-11.535,-3.108,-0.803,-3.487,-38.131,-18.103,0.633,-0.147,-108.384,-56.233
CHEMBL258004,-11.496,-0.523,-1.464,-2.81,-11.535,-3.108,-0.803,-3.487,-38.131,-18.103,0.633,-0.147,-108.384,-56.233
CHEMBL4113237,-11.493,-0.319,-1.054,-2.508,-11.493,-3.806,-0.483,-3.031,-66.775,-10.394,0.758,-0.034,-122.2,-77.169
