Molecule ChEMBL ID,Smiles
CHEMBL482708,CN(c1nccc(-c2cnc3ccccn23)n1)C1CCCCC1
CHEMBL3958433,Cc1ccc(-n2nc(C3CCN(S(C)(=O)=O)CC3)cc2NC(=O)c2cnn3cc(Br)cnc23)nc1
CHEMBL3895793,O=C(Nc1cc2cccnc2cc1N1CCCCC1)c1cnn2ccccc12
CHEMBL3922358,COc1ccc(-n2nc(C3CCN(S(=O)(=O)C4CC4)CC3)cc2NC(=O)c2cnn3cccnc23)c(F)c1
CHEMBL4107242,Cc1nccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc12
CHEMBL4111047,NC(=O)c1ccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc2c1
CHEMBL4293161,CN(C)[C@H]1CC[C@H](Nc2ncnn3ccc([C@H]4CC[C@@H](C(N)=O)CC4)c23)CC1
CHEMBL4110755,CS(=O)(=O)N1CCC(Nc2nc(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
CHEMBL4544284,O=C(Nc1cc2cnc(N3CCOCC3)nc2cc1N1CCCCC1)c1cnn2cccnc12
CHEMBL4554579,O=C(Nc1cc2[nH]cnc2cc1N1CCC(CO)CC1)c1cnn2cccnc12
CHEMBL4111327,Cc1cccc(-c2c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)nc(N3CCCCC3)[nH]c2=O)n1
CHEMBL4110006,O=c1[nH]c(N[C@H]2CCCNC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1
CHEMBL4103497,CCC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12
CHEMBL4096446,N#Cc1ccc2ncnc(N[C@H]3CC[C@H](N4CCC(F)CC4)CC3)c2c1
CHEMBL4091329,COc1cc2ncnc(N[C@H]3CC[C@H](N(C)C)CC3)c2cc1OC
CHEMBL4087705,CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]c4c(c23)CCC4)CC1
CHEMBL3899446,Cc1ccc(-n2nc(-c3ccc(CN4CCOCC4)cc3)cc2NC(=O)c2cnn3cccnc23)cc1
CHEMBL3950656,NCC1CCN(c2cc3ncccc3cc2NC(=O)c2cnn3cccnc23)CC1
CHEMBL3937613,O=C(Nc1cc2ccccc2cc1OC1CCC(O)CC1)c1cnn2cccnc12
CHEMBL4113091,CC(C)(O)[C@H](F)CNC(=O)c1cnc(N2CCc3cc(C#N)cnc32)cc1NC1CC1
CHEMBL4112091,CS(=O)(=O)c1ccccc1N1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
CHEMBL4110923,CC(=O)NC1CCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1
CHEMBL4283453,CN(C)[C@H]1CC[C@H](Oc2ncnn3ccc([C@H]4CC[C@H](C(N)=O)CC4)c23)CC1
CHEMBL3960714,CNS(=O)(=O)N1CCC(NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)CC1
CHEMBL3901098,O=C(Nc1cc(C2CCNCC2)nn1-c1c(F)cc(C2CC2)cc1F)c1cnn2cccnc12
CHEMBL3926498,Cc1ccc(-n2nc(C3COCCN3)cc2NC(=O)c2cnn3cccnc23)cc1
CHEMBL3956279,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCCc1ncn[nH]1
CHEMBL4439748,COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1
CHEMBL4439748,COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1
CHEMBL3945366,CC(C)(C)NC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)F)c1
CHEMBL3918080,CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2Nc2cnn(CC(F)F)c2)CC1
CHEMBL4107958,O=c1[nH]c(N2CCN(c3cccc(C(F)(F)F)c3)CC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1
CHEMBL3586484,COc1ccc(-c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(C)cc3)n2)cc1
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O
CHEMBL4115147,O=c1[nH]c(N2CCCCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1
